city,temperature,carbon_intensity,date_time
Paris,5.47,72.0,2025-02-12 18:27:16
Paris,5.47,72.0,2025-02-12 18:27:16
Paris,5.47,72.0,2025-02-12 18:27:16
Paris,5.47,72.0,2025-02-12 18:30:04
Paris,5.47,72.0,2025-02-12 18:30:04
Paris,5.47,72.0,2025-02-12 18:30:04
Paris,5.47,72.0,2025-02-12 18:27:16
Paris,5.47,72.0,2025-02-12 18:27:16
Paris,5.47,72.0,2025-02-12 18:25:25
Paris,5.47,72.0,2025-02-12 18:35:20
Paris,5.47,72.0,2025-02-12 18:35:20
Paris,5.47,72.0,2025-02-12 18:35:20
Paris,5.47,72.0,2025-02-12 18:35:20
Paris,5.16,71.0,2025-02-12 22:12:55
Paris,5.16,71.0,2025-02-12 22:12:55
Paris,5.14,71.0,2025-02-12 22:20:12
Paris,5.14,71.0,2025-02-12 22:20:12
Paris,5.14,71.0,2025-02-12 22:20:12
Paris,5.14,71.0,2025-02-12 22:20:12
Paris,5.14,71.0,2025-02-12 22:20:12
Paris,5.16,71.0,2025-02-12 22:13:28
Paris,5.14,71.0,2025-02-12 22:25:22
Paris,5.14,71.0,2025-02-12 22:25:22
Paris,5.14,71.0,2025-02-12 22:25:22
Paris,5.14,71.0,2025-02-12 22:25:00
Paris,5.14,71.0,2025-02-12 22:25:22
Paris,5.14,71.0,2025-02-12 22:25:22
Paris,5.14,71.0,2025-02-12 22:25:22
Paris,5.14,71.0,2025-02-12 22:23:33
Paris,5.14,71.0,2025-02-12 22:23:33
Paris,5.14,71.0,2025-02-12 22:25:00
Paris,5.14,71.0,2025-02-12 22:25:00
Paris,5.14,71.0,2025-02-12 22:35:33
Paris,5.14,71.0,2025-02-12 22:35:33
Paris,5.14,71.0,2025-02-12 22:34:13
Paris,5.14,71.0,2025-02-12 22:34:13
Paris,5.14,71.0,2025-02-12 22:34:13
Paris,5.14,71.0,2025-02-12 22:34:13
Paris,5.14,71.0,2025-02-12 22:34:13
Paris,5.14,71.0,2025-02-12 22:40:12
Paris,5.14,71.0,2025-02-12 22:35:33
